id,text,label,issues
1,"Bridge construction of 2 km over Brahmaputra tributary. Budget ₹5 crore. Timeline 4 months.",risky,"budget,timeline"
2,"Hospital project with 200 beds in Shillong. Budget ₹90 crore. Timeline 24 months. Includes equipment and staff training.",feasible,""
3,"Tourism center at Majuli Island. Budget ₹10 crore. Timeline 6 months. Covers basic infrastructure.",feasible,""
4,"Road expansion of 50 km in Arunachal hills. Budget ₹8 crore. Timeline 5 months.",risky,"budget,timeline"
5,"School building with 20 classrooms in Manipur. Budget ₹15 crore. Timeline 18 months. Compliance with safety standards.",feasible,""
6,"Bridge over hilly terrain in Nagaland, 5 km long. Budget ₹12 crore. Timeline 6 months.",risky,"budget,timeline,technical"
7,"Healthcare clinic for rural Assam. Budget ₹5 crore. Timeline 12 months. Includes solar power.",feasible,""
8,"Railway overpass in Tripura. Budget ₹200 crore. Timeline 36 months.",feasible,""
9,"Tourist lodge in Kaziranga forest. Budget ₹5 crore. Timeline 6 months. No environmental clearance.",risky,"environment"
10,"Water treatment plant in Guwahati. Budget ₹25 crore. Timeline 18 months. Modern technology.",feasible,""
11,"Bridge construction over river in Meghalaya, 3 km. Budget ₹7 crore. Timeline 4 months.",risky,"budget,timeline"
12,"Community hall in Imphal. Budget ₹3 crore. Timeline 12 months. Multi-purpose facility.",feasible,""
13,"Highway extension in Mizoram, 30 km. Budget ₹15 crore. Timeline 12 months. Hilly terrain challenges.",feasible,""
14,"Solar power plant in Agartala. Budget ₹50 crore. Timeline 18 months. Clean energy initiative.",feasible,""
15,"Bridge over wetland in Assam, 1 km. Budget ₹3 crore. Timeline 3 months. No environmental impact study.",risky,"environment,timeline"
16,"Government office building in Aizawl. Budget ₹20 crore. Timeline 24 months. Earthquake resistant design.",feasible,""
17,"Market complex in Kohima. Budget ₹8 crore. Timeline 8 months. Vendor accommodation for 200 shops.",feasible,""
18,"Rural electrification project in Manipur. Budget ₹12 crore. Timeline 12 months. Solar grid integration.",feasible,""
19,"Bridge across major river in Assam, 8 km. Budget ₹15 crore. Timeline 6 months.",risky,"budget,timeline"
20,"Sports complex in Itanagar. Budget ₹30 crore. Timeline 20 months. International standards.",feasible,""
10,"Hospital with 50 beds in Aizawl. Budget ₹8 crore. Timeline 8 months. No staff recruitment plan.",risky,"missing_sections"
11,"Water supply scheme for 10 villages in Meghalaya. Budget ₹30 crore. Timeline 24 months.",feasible,""
12,"Bridge project across flood-prone river in Assam. Budget ₹50 crore. Timeline 30 months. Disaster mitigation included.",feasible,""
13,"IT park development in Guwahati. Budget ₹20 crore. Timeline 10 months. Unrealistic for 20,000 sq ft campus.",risky,"budget,timeline"
14,"Skill development center in Sikkim. Budget ₹7 crore. Timeline 12 months. Focus on IT and handicrafts.",feasible,""
15,"Hospital with 1000 beds in Nagaland. Budget ₹25 crore. Timeline 10 months. Clearly impossible.",risky,"budget,timeline"
16,"Highway project of 120 km in Manipur. Budget ₹500 crore. Timeline 48 months. Environmental clearance included.",feasible,""
17,"Tourism river cruise facility in Assam. Budget ₹3 crore. Timeline 4 months. No safety measures.",risky,"missing_sections"
18,"Community hall in rural Mizoram. Budget ₹2 crore. Timeline 12 months. Includes sanitation.",feasible,""
19,"Dam construction in Arunachal. Budget ₹50 crore. Timeline 12 months. Unrealistic given scale.",risky,"timeline"
21,"Bridge project in flood-prone Dhemaji. Budget ₹12 crore. Timeline 8 months. No disaster planning.",risky,"environment,missing_sections"
22,"Rural electrification in Nagaland. Budget ₹25 crore. Timeline 24 months. Includes solar panels.",feasible,""
23,"Tourism ropeway project in Sikkim. Budget ₹40 crore. Timeline 18 months. Safety standards covered.",feasible,""
24,"New airport terminal in Agartala. Budget ₹80 crore. Timeline 8 months. Unrealistic.",risky,"timeline"
25,"Cold storage for farmers in Assam. Budget ₹15 crore. Timeline 20 months. Proper logistics planned.",feasible,""
26,"Road tunnel in Arunachal (3 km). Budget ₹20 crore. Timeline 10 months. Too low for mountain terrain.",risky,"budget,technical"
27,"Eco-tourism park in Meghalaya. Budget ₹12 crore. Timeline 14 months. Includes conservation plan.",feasible,""
28,"Hospital in flood zone of Barpeta. Budget ₹12 crore. Timeline 12 months. No flood mitigation.",risky,"environment"
29,"Skill training center for bamboo crafts in Tripura. Budget ₹5 crore. Timeline 12 months.",feasible,""
30,"Railway bridge over Brahmaputra. Budget ₹50 crore. Timeline 12 months. Unrealistic.",risky,"budget,timeline"
31,"Community healthcare outreach in Mizoram. Budget ₹2 crore. Timeline 12 months.",feasible,""
32,"New hydro power project in Arunachal (200 MW). Budget ₹100 crore. Timeline 18 months. Unrealistic.",risky,"budget,timeline"
33,"Tourism homestay development in Nagaland villages. Budget ₹6 crore. Timeline 10 months.",feasible,""
34,"Highway bridge replacement (steel girder) in Assam. Budget ₹15 crore. Timeline 24 months.",feasible,""
35,"Dam in seismic zone of Meghalaya. Budget ₹30 crore. Timeline 15 months. No seismic study.",risky,"environment,technical"
36,"Primary school building in Arunachal. Budget ₹2 crore. Timeline 18 months.",feasible,""
37,"IT hub in Shillong. Budget ₹10 crore. Timeline 6 months. Unrealistic.",risky,"timeline"
38,"Public toilets project across 50 villages. Budget ₹12 crore. Timeline 24 months.",feasible,""
39,"Bridge across Dibang River (6 km). Budget ₹40 crore. Timeline 12 months. Unrealistic.",risky,"budget,timeline"
40,"Tourism cultural center in Manipur. Budget ₹8 crore. Timeline 15 months.",feasible,""
41,"Hospital staff quarters in Mizoram. Budget ₹10 crore. Timeline 14 months.",feasible,""
42,"Bridge construction in flood-prone Majuli. Budget ₹12 crore. Timeline 6 months.",risky,"timeline,environment"
43,"Renewable energy solar park in Assam. Budget ₹50 crore. Timeline 30 months.",feasible,""
44,"IT-enabled education project in Tripura. Budget ₹5 crore. Timeline 12 months.",feasible,""
45,"Tunnel through fragile Himalayan range in Sikkim. Budget ₹25 crore. Timeline 12 months.",risky,"technical,budget"
46,"Hospital in Guwahati with 300 beds. Budget ₹150 crore. Timeline 30 months.",feasible,""
47,"Tourist lodge near Kaziranga core area. Budget ₹8 crore. Timeline 12 months. No environmental clearance.",risky,"environment"
48,"Community drinking water supply in rural Nagaland. Budget ₹6 crore. Timeline 12 months.",feasible,""
49,"IT training academy in Aizawl. Budget ₹4 crore. Timeline 12 months.",feasible,""
50,"Bridge construction across Siang River (7 km). Budget ₹20 crore. Timeline 18 months. Unrealistic.",risky,"budget,timeline"
51,"Eco-lodge in Arunachal. Budget ₹5 crore. Timeline 10 months. Includes environmental clearance.",feasible,""
52,"Airport extension in Imphal. Budget ₹120 crore. Timeline 30 months.",feasible,""
53,"Flood control embankment in Dhemaji. Budget ₹25 crore. Timeline 12 months. Unrealistic.",risky,"timeline"
54,"Community college in Meghalaya. Budget ₹8 crore. Timeline 18 months.",feasible,""
55,"Bridge construction in Silchar. Budget ₹10 crore. Timeline 6 months. Unrealistic.",risky,"timeline"
56,"Skill center for weaving in Assam. Budget ₹5 crore. Timeline 12 months.",feasible,""
57,"Multi-specialty hospital in Nagaland. Budget ₹200 crore. Timeline 36 months.",feasible,""
58,"Hydropower dam in Manipur. Budget ₹80 crore. Timeline 14 months. Unrealistic.",risky,"timeline"
59,"Urban waste management in Guwahati. Budget ₹40 crore. Timeline 20 months.",feasible,""
60,"High-altitude road in Arunachal (60 km). Budget ₹50 crore. Timeline 12 months. Unrealistic.",risky,"budget,timeline"
61,"Public library in Shillong. Budget ₹3 crore. Timeline 12 months.",feasible,""
62,"Tourism golf resort in Sikkim. Budget ₹30 crore. Timeline 24 months.",feasible,""
63,"Railway track expansion (100 km) in Tripura. Budget ₹40 crore. Timeline 15 months. Unrealistic.",risky,"budget,timeline"
64,"Bridge repair project in Manipur. Budget ₹6 crore. Timeline 12 months.",feasible,""
65,"Medical college in Assam. Budget ₹250 crore. Timeline 48 months.",feasible,""
66,"Tunnel under Brahmaputra. Budget ₹30 crore. Timeline 18 months. Unrealistic.",risky,"budget,technical"
67,"Renewable hydro-solar hybrid in Arunachal. Budget ₹100 crore. Timeline 30 months.",feasible,""
68,"Tourism trekking trail in Meghalaya. Budget ₹4 crore. Timeline 10 months.",feasible,""
69,"Hospital in Sikkim (150 beds). Budget ₹15 crore. Timeline 8 months. Unrealistic.",risky,"timeline"
70,"Irrigation project in Assam. Budget ₹35 crore. Timeline 24 months.",feasible,""
71,"Dam construction without EIA in Arunachal. Budget ₹60 crore. Timeline 18 months.",risky,"environment"
72,"Skill development in handicrafts (Nagaland). Budget ₹3 crore. Timeline 12 months.",feasible,""
73,"Eco-park in Tripura. Budget ₹8 crore. Timeline 18 months.",feasible,""
74,"Airport project in Shillong. Budget ₹70 crore. Timeline 10 months. Unrealistic.",risky,"timeline"
75,"Community sanitation project in rural Assam. Budget ₹5 crore. Timeline 12 months.",feasible,""
76,"Bridge construction in Arunachal (10 km). Budget ₹30 crore. Timeline 12 months. Unrealistic.",risky,"budget,timeline"
77,"Tourism resort in Mizoram. Budget ₹15 crore. Timeline 20 months.",feasible,""
78,"High-speed rail in Assam. Budget ₹200 crore. Timeline 12 months. Unrealistic.",risky,"timeline"
79,"Public health center in Manipur. Budget ₹6 crore. Timeline 18 months.",feasible,""
80,"Flood control canal in Assam. Budget ₹20 crore. Timeline 24 months.",feasible,""
81,"Tunnel in Sikkim (8 km). Budget ₹15 crore. Timeline 12 months. Unrealistic.",risky,"budget,timeline"
82,"Skill training for youth in Arunachal. Budget ₹4 crore. Timeline 12 months.",feasible,""
83,"Hospital extension in Aizawl. Budget ₹25 crore. Timeline 18 months.",feasible,""
84,"Bridge in Manipur across Loktak Lake. Budget ₹10 crore. Timeline 8 months. Unrealistic.",risky,"timeline"
85,"Road upgrade (30 km) in Nagaland. Budget ₹25 crore. Timeline 20 months.",feasible,""
86,"Hydropower project (500 MW) in Arunachal. Budget ₹150 crore. Timeline 20 months. Unrealistic.",risky,"budget,timeline"
87,"Tourism cultural museum in Assam. Budget ₹12 crore. Timeline 18 months.",feasible,""
88,"Community hospital in Mizoram. Budget ₹20 crore. Timeline 24 months.",feasible,""
89,"Bridge construction in flood-prone Barak Valley. Budget ₹12 crore. Timeline 8 months. No mitigation.",risky,"environment"
90,"IT-enabled rural governance in Meghalaya. Budget ₹5 crore. Timeline 12 months.",feasible,""
91,"Airport runway extension in Nagaland. Budget ₹60 crore. Timeline 18 months.",feasible,""
92,"Mega shopping mall in Guwahati. Budget ₹30 crore. Timeline 10 months. Unrealistic.",risky,"timeline"
93,"Community skills university in Tripura. Budget ₹40 crore. Timeline 36 months.",feasible,""
94,"Tourist huts in forest areas (Assam). Budget ₹3 crore. Timeline 6 months. No environmental clearance.",risky,"environment"
95,"Water sanitation project in Mizoram. Budget ₹10 crore. Timeline 18 months.",feasible,""
96,"Bridge replacement in Nagaland. Budget ₹15 crore. Timeline 24 months.",feasible,""
97,"Tunnel proposal under fragile mountain in Arunachal. Budget ₹25 crore. Timeline 12 months.",risky,"technical"
98,"Hospital facility in Tripura. Budget ₹12 crore. Timeline 18 months.",feasible,""
99,"Hydropower expansion (100 MW) in Assam. Budget ₹70 crore. Timeline 14 months. Unrealistic.",risky,"timeline"
100,"Community IT labs in Sikkim. Budget ₹6 crore. Timeline 12 months.",feasible,""
